da,y
1/20/2018,1423
1/21/2018,1996
1/22/2018,3035
1/23/2018,3154
1/24/2018,3244
1/25/2018,2875
1/26/2018,2314
1/27/2018,1544
1/28/2018,2140
1/29/2018,3194
1/30/2018,3106
1/31/2018,3249
2/1/2018,3164
2/2/2018,2572
2/3/2018,2034
2/4/2018,2186
2/5/2018,3287
2/6/2018,3465
2/7/2018,3319
2/8/2018,3179
2/9/2018,2477
2/10/2018,1793
2/11/2018,2476
2/12/2018,3687
2/13/2018,3460
2/14/2018,3214
2/15/2018,3050
2/16/2018,2518
2/17/2018,1618
2/18/2018,2314
2/19/2018,3620
2/20/2018,3597
2/21/2018,3448
2/22/2018,3379
2/23/2018,2751
2/24/2018,1981
2/25/2018,2446
2/26/2018,3728
2/27/2018,3764
2/28/2018,3734
3/1/2018,3315
3/2/2018,2754
3/3/2018,1922
3/4/2018,2699
3/5/2018,3727
3/6/2018,3842
3/7/2018,3734
3/8/2018,3704
3/9/2018,3038
3/10/2018,2305
3/11/2018,2727
3/12/2018,4141
3/13/2018,4207
3/14/2018,4021
3/15/2018,4061
3/16/2018,3259
3/17/2018,2161
3/18/2018,2919
3/19/2018,4038
3/20/2018,4292
3/21/2018,4163
3/22/2018,4251
3/23/2018,2994
3/24/2018,2021
3/25/2018,2748
3/26/2018,3995
3/27/2018,4147
3/28/2018,3917
3/29/2018,3396
3/30/2018,2541
3/31/2018,1901
4/1/2018,2438
4/2/2018,3542
4/3/2018,4126
4/4/2018,4112
4/5/2018,3943
4/6/2018,3348
4/7/2018,2291
4/8/2018,3059
4/9/2018,4290
4/10/2018,4514
4/11/2018,4596
4/12/2018,4332
4/13/2018,3454
4/14/2018,2542
4/15/2018,3538
4/16/2018,4993
4/17/2018,4939
4/18/2018,4842
4/19/2018,4672
4/20/2018,3728
4/21/2018,2749
4/22/2018,3722
4/23/2018,5124
4/24/2018,5094
4/25/2018,5541
4/26/2018,4823
4/27/2018,3749
4/28/2018,2618
4/29/2018,3635
4/30/2018,4584
5/1/2018,4542
5/2/2018,4865
5/3/2018,4702
5/4/2018,3711
5/5/2018,2568
5/6/2018,3311
5/7/2018,4654
5/8/2018,4577
5/9/2018,4488
5/10/2018,4059
5/11/2018,3454
5/12/2018,2237
5/13/2018,2912
5/14/2018,4388
5/15/2018,4094
5/16/2018,3976
5/17/2018,4023
5/18/2018,2986
5/19/2018,2117
5/20/2018,2674
5/21/2018,3708
5/22/2018,4040
5/23/2018,3971
5/24/2018,3675
5/25/2018,2803
5/26/2018,1965
5/27/2018,2374
5/28/2018,2994
5/29/2018,3777
5/30/2018,3574
5/31/2018,3485
6/1/2018,2681
6/2/2018,1750
6/3/2018,2308
6/4/2018,3399
6/5/2018,3453
6/6/2018,3474
6/7/2018,3283
6/8/2018,2670
6/9/2018,1589
6/10/2018,2091
6/11/2018,3326
6/12/2018,3309
6/13/2018,3099
6/14/2018,2962
6/15/2018,2320
6/16/2018,1316
6/17/2018,1677
6/18/2018,2964
6/19/2018,3144
6/20/2018,2989
6/21/2018,2762
6/22/2018,2207
6/23/2018,1277
6/24/2018,1619
6/25/2018,2881
6/26/2018,3039
6/27/2018,2818
6/28/2018,2785
6/29/2018,2008
6/30/2018,1147
7/1/2018,1447
7/2/2018,2533
7/3/2018,2515
7/4/2018,2032
7/5/2018,2496
7/6/2018,1995
7/7/2018,1080
7/8/2018,1440
7/9/2018,2576
7/10/2018,2694
7/11/2018,2506
7/12/2018,2530
7/13/2018,2068
7/14/2018,1249
